Designator,Footprint,Quantity,Value,LCSC Part #
ACCELEROMETER,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
"ALTITUDE, GPS",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
"C1, C2, C3, C4, C5",0805,5,C,
CR1,TO-220_STM,1,LD1117V33,
"IC1, IC2",SOT96P237X111-3N,2,MMBT2222ALT1G,
J1,AMASS_XT30PW-M,1,XT30PW-M,
"J2, J3","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",2,Screw_Terminal_01x02,
"J4, J5, J6, J7",Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,4,Conn_01x03,
"R1, R2",1206,2,R_US,
SD_READER,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
U1,ESP32-S3-DevKitC,1,ESP32-S3-DevKitC,
